Business Name,Location,Price,Size (sq ft),Monthly Rent/Sq. Ft.,Gross Revenue,Description,Category
"Business                                    
									For Sale																			at B - 48 PEEL CENTRE DRIVE",at B - 48 PEEL CENTRE DRIVE,"349,000","1,611",,,An exquisite restaurant buildout is available for conversion in the heart of Brampton at Queen St E & Dixie Rd. This well maintained 1611 sq ft restaurant seats 16 in the spacious front of house and is equipped with top  ...,Restaurant
"Business                                    
									For Sale																			at 5 - 5 YORKLAND BOULEVARD",at 5 - 5 YORKLAND BOULEVARD,"230,000","1,000",,,"Beautifully maintained Physiotherapy clinic in medical office, newly built with all Major Modalities like Shockwave, Laser, combo care, Hydrocollator. Purchase price includes Lease hold, equipment, Patient's file, Washer ...",Healthcare
"Business                                    
									For Sale																			at 2075 - 1800 SHEPPARD AVENUE E",at 2075 - 1800 SHEPPARD AVENUE E,"650,000",981,,,"Exciting chance to acquire the only Canadian franchise of a globally recognized Ayurveda beauty supply chain, complete with distribution rights for Canada. Situated in the bustling Fairview Mall, renowned for its high fo ...",Other
"Business                                    
									For Sale																			at UNIT 14 - 100 THE EAST MALL",at UNIT 14 - 100 THE EAST MALL,"130,000","2,500",,,"*Sale of Business* Marble, Granite, Quartz and Porcelain Countertops, Fireplaces, Tiles, Floors, Backsplash, Bathrooms, Kitchens Fabrication and Installation. 17 Years in Business. Selling and Supplying Premium First Qua ...",Other
"Business                                    
									For Sale																			at B101A - 6210 FINCH AVENUE W",at B101A - 6210 FINCH AVENUE W,"849,900","1,750",,,"$$$ Very Well-Established Coin Laundromat, Excellent Profitability & Very High Net Income, Completely Unattended and Remotely Controlled, Newer Washers, Dryers and Other Machines, Great Location and Unlimited Potential t ...",Other
"Business                                    
									For Sale																			at 22 - 155 EAST BEAVER CREEK ROAD",at 22 - 155 EAST BEAVER CREEK ROAD,"159,000","1,592",,,"Renovated for Beauty Spa to be operated on your own, Approx 1592 Sq Ft Unit In The Prime Location Of East Beaver Creek Business Park In Richmond Hill. Great Exposure With Direct Signage On East Beaver Creek Road. Front S ...",Other
"Business                                    
									For Sale																			at 52 - 101 TORO ROAD",at 52 - 101 TORO ROAD,"59,900","2,918",,,"Rare to find Automotive business shop for Sale, great opportunity to operate variety of Automotive uses (Buyer to verify w/zoning). currently running as car detailing, and Auto repair. the unit has 2 parking @front, 3 pa ...",Retail
"Retail Store                                    
									For Sale																			at A2 - 55 MOUNTAINASH ROAD",at A2 - 55 MOUNTAINASH ROAD,"499,995",0,,,"Have a dream to own your own business with unlimited growth potential. Welcome to GTA Car Rental, a highly profitable business in one of the best plazas. The business comes with vehicles and you will be taught how to bec ...",Other
"Business                                    
									For Sale																			at 04 - 5071 HWY 7",at 04 - 5071 HWY 7,"90,000",909,,,"This is a rare opportunity to acquire a well-established dry cleaning, laundry, and alteration business. Located in a high-traffic area, this business has built a strong reputation for quality service and reliability. It ...",Service
"Business                                    
									For Sale																			at G22 - 8 REAN DRIVE",at G22 - 8 REAN DRIVE,"789,000",0,,,"Become the Owner of Two Construction Businesses with Guaranteed $1,000,000 Business Offers in the First Year! Seize this opportunity to step into the construction industry in Toronto and GTA. With roots dating back to 19 ...",Other
,,,,,,No description available,Other
"Business                                    
									For Sale																			at 5511 TOMKEN Road Unit# 4-5",at 5511 TOMKEN Road Unit# 4-5,"169,000",0,,,"Fantastic Opportunity To Own A Turn-Key Business. Well Established Pet Furniture Manufacturing For Sale Without Property. Big Potential For Growth With Over 10 Years Of Superior Delivery & Expertise, Large Workshop, 2 Of ...",Retail
"Auto Repair/Parts/Service Shop                                    
									For Sale																			at 1A - 1032 WINSTON CHURCHILL BOULEVARD",at 1A - 1032 WINSTON CHURCHILL BOULEVARD,"475,000","3,750",,,Automotive and Marine Repair Business For Sale with steady database. Nearly half acre of outside storage and parking included with the leased premises in addition to an office suite on the 2nd floor with 4 separate offic ...,Service
"Business                                    
									For Sale																			at 33 Villiers Street|Unit #103",at 33 Villiers Street|Unit #103,"2,100",800,,,"Approximately 800 Square Feet T.M.I and Utilities is the responsibility of the tenant. The space comprises 2 adjoining rooms, one setup as a post-production studio, and the other as an cpen concept office environment Loc ...",Manufacturing
"Furniture/Fixtures Manufacturer                                    
									For Sale																			at 4-5 - 5511 TOMKEN ROAD",at 4-5 - 5511 TOMKEN ROAD,"169,000","4,182",,,"Fantastic Opportunity To Own A Turn-Key Business. Well Established Pet Furniture Manufacturing For Sale Without Property. Big Potential For Growth With Over 10 Years Of Superior Delivery & Expertise, Large Workshop, 2 Of ...",Retail
"Cannibis Store                                    
									For Sale																			at 871 DUNDAS STREET W",at 871 DUNDAS STREET W,"239,000",0,,,"Himalaya Cannabis located in a beautiful corner lot of the busiest neighborhood Dundas/Manning, surrounded with Toronto's most famous restaurants, bars and a gas station and a residential area on the back, as we all know ...",Restaurant
"Auto Repair/Parts/Service Shop                                    
									For Sale																			at 3 - 681 CHRISLEA ROAD",at 3 - 681 CHRISLEA ROAD,"185,000","4,000",,,"Busy & established auto detail shop located in prime Vaughan location. High traffic intersection & busy plaza close to mechanic shops and gas stations. Catering to high-end clientele, fleet, dealerships, & private client ...",Retail
